Verhardingsobject Guid,Datum,Inspecterende organisatie,Dwarsonvlakheid,Langsonvlakheid,Oneffenheden,Rafeling,Randschade,Scheurvorming,Voegvulling,Voegwijdte,Zetting,Opmerking
{01DC4A98-EA10-46CB-BDF4-FAE031D5BAA0},25-3-2015,,G,,G,G,G,G,G,G,G,
{01DC4A98-EA10-46CB-BDF4-FAE031D5BAA0},4-8-2017,,G,,G,G,G,G,,,G,Dubbel in bestand
{01DC4A98-EA10-46CB-BDF4-FAE031D5BAA0},27-3-2019,,G,,G,G,G,G,,,G,
{01E3AA8D-F2AC-4E16-AE46-42829C8FACA6},18-2-2015,,G,,G,L1,G,L1,G,G,G,
{01E3AA8D-F2AC-4E16-AE46-42829C8FACA6},26-9-2017,,G,,G,G,G,M3,G,G,G,
{01E3AA8D-F2AC-4E16-AE46-42829C8FACA6},28-1-2019,,G,,G,G,G,G,,,G,
{01EBCD50-3F1B-48EB-8F92-DB1D8A246A19},10-5-2016,,G,,G,G,G,G,G,G,G,
{01EBCD50-3F1B-48EB-8F92-DB1D8A246A19},25-5-2018,,G,,G,G,G,G,,,G,
{01EDB3EB-D632-46CC-8D8E-E95C886FD3D9},20-9-2016,,G,,G,G,G,G,G,G,G,
{01EDB3EB-D632-46CC-8D8E-E95C886FD3D9},29-5-2018,,G,,G,G,G,G,,,G,
{01EE8AD8-FB92-4285-805A-147483FE7134},4-2-2015,,G,,G,L1,G,G,G,G,G,
{01EE8AD8-FB92-4285-805A-147483FE7134},26-9-2017,,G,,G,L1,G,L1,G,G,G,
{01EE8AD8-FB92-4285-805A-147483FE7134},3-1-2019,,G,,G,G,G,G,,,G,
{02038064-711C-461F-AB80-1D5B2D0CD13D},20-9-2016,,G,,G,G,G,G,G,G,G,
{02038064-711C-461F-AB80-1D5B2D0CD13D},12-6-2018,,G,,G,G,G,G,,,G,
{020BFD90-9572-46F2-B777-A0CED422EDF5},14-4-2015,,G,,L1,L1,G,G,G,G,G,
{020BFD90-9572-46F2-B777-A0CED422EDF5},21-7-2017,,G,,G,G,G,G,,,G,
{020BFD90-9572-46F2-B777-A0CED422EDF5},25-4-2019,,G,,G,G,G,G,,,G,
{020ED69B-1252-44E0-AA61-B76B7903EC91},20-9-2016,,G,,G,G,G,G,G,G,G,
{020ED69B-1252-44E0-AA61-B76B7903EC91},30-5-2018,,G,,G,G,G,G,,,G,
{020ED69B-1252-44E0-AA61-B76B7903EC91},19-4-2019,,G,,G,G,G,G,,,G,
{02183670-E6ED-4CF5-8B42-2A2CE88E851F},16-3-2016,,L1,,G,G,G,G,G,G,G,
{02183670-E6ED-4CF5-8B42-2A2CE88E851F},7-6-2018,,L1,,G,G,G,G,,,G,
{021F63E6-4942-4F49-9DF9-C3AAAF03A68F},20-9-2016,,G,,G,G,G,G,G,G,G,
{021F63E6-4942-4F49-9DF9-C3AAAF03A68F},18-5-2018,,G,,G,G,G,G,,,G,
{02229468-F8EA-4B5C-B164-B59EB24AD88F},16-3-2016,,G,,G,L3,E1,G,G,G,G,
{02229468-F8EA-4B5C-B164-B59EB24AD88F},13-6-2018,,G,,G,G,G,G,,,G,
{0225682D-868F-4232-A608-50C5FD7487BE},24-5-2018,,G,,G,G,G,G,,,G,
{023F6305-9956-4D33-8BD4-039EBF220F99},21-1-2015,,G,,G,G,G,G,G,G,G,
{023F6305-9956-4D33-8BD4-039EBF220F99},26-9-2017,,G,,G,G,G,G,G,G,G,
{023F6305-9956-4D33-8BD4-039EBF220F99},7-2-2019,,G,,G,G,G,G,,,G,
{024716F0-F9F9-48EC-8681-D12C6A552C26},10-5-2016,,G,,G,G,G,G,G,G,G,
{024716F0-F9F9-48EC-8681-D12C6A552C26},17-5-2018,,G,,G,G,G,G,,,G,
{024BCFB7-F626-4CBA-8644-7DBE3DF6AEB7},20-7-2017,,G,,G,G,G,G,G,,G,Mutatie
{024BCFB7-F626-4CBA-8644-7DBE3DF6AEB7},21-3-2019,,G,,G,G,G,G,,,G,
{024F949B-183C-48E8-969C-D522483D8778},8-5-2018,,G,,G,G,G,G,,,G,
{02521350-BC67-4577-AAB6-C3A6931070DA},8-2-2017,,G,,G,G,G,G,G,G,G,
{02521350-BC67-4577-AAB6-C3A6931070DA},19-3-2019,,G,,G,G,G,G,,,G,
{026B1DFE-9496-4361-8230-E3814018D2BD},1-1-2015,,G,,G,M1,M1,L1,G,G,G,
{026B1DFE-9496-4361-8230-E3814018D2BD},25-7-2017,,G,,G,M1,E1,M2,,,G,
{026B1DFE-9496-4361-8230-E3814018D2BD},6-5-2019,,G,,G,L1,E1,M2,,,G,
{026F2A08-EC95-4B89-872B-77C998AC0A6D},10-5-2016,,G,,G,M1,G,G,G,G,G,
{026F2A08-EC95-4B89-872B-77C998AC0A6D},22-5-2018,,G,,G,L1,G,G,,,G,
{02713083-389C-4DF2-939A-405B8CD666F0},20-9-2016,,G,,G,G,G,G,G,G,G,
{02713083-389C-4DF2-939A-405B8CD666F0},30-5-2018,,G,,G,G,G,G,,,G,
{02713083-389C-4DF2-939A-405B8CD666F0},27-3-2019,,G,,G,G,G,G,,,G,
{027D04B1-3F8C-45D3-BE45-AF34EDC3F034},20-9-2016,,G,,G,G,G,G,G,G,G,
{027D04B1-3F8C-45D3-BE45-AF34EDC3F034},24-5-2018,,G,,G,G,G,G,,,G,
{027D04B1-3F8C-45D3-BE45-AF34EDC3F034},29-1-2019,,G,,G,G,G,G,,,G,
{028176F7-D2A8-4213-A43B-F9A996CE74BD},22-2-2017,,G,,G,E1,G,M1,G,G,G,
{028176F7-D2A8-4213-A43B-F9A996CE74BD},18-3-2019,,G,,G,G,G,G,,,G,
{02838DEF-00EC-44A7-BC7E-972E6BED4F95},1-1-2015,,G,,G,L3,G,G,G,G,G,
{02838DEF-00EC-44A7-BC7E-972E6BED4F95},7-8-2017,,G,,G,G,G,G,,,G,
{02838DEF-00EC-44A7-BC7E-972E6BED4F95},14-5-2019,,G,,G,G,G,G,,,G,
{0288FFFA-746D-4A59-9D32-311F0A97BE32},16-3-2016,,G,,G,G,G,G,G,G,G,
{0288FFFA-746D-4A59-9D32-311F0A97BE32},7-6-2018,,G,,G,G,G,G,,,G,
{028EF8BB-E7E8-400C-BC0E-A50F78035FE1},17-2-2015,,G,,G,G,G,G,G,G,G,
{028EF8BB-E7E8-400C-BC0E-A50F78035FE1},26-9-2017,,G,,G,G,G,G,G,G,G,
{028EF8BB-E7E8-400C-BC0E-A50F78035FE1},14-2-2019,,G,,G,G,G,G,,,G,
{028F2B15-5153-4A0C-B3CB-5E860EE9A831},20-9-2016,,G,,G,L3,G,G,G,G,G,
{028F2B15-5153-4A0C-B3CB-5E860EE9A831},22-5-2018,,G,,G,G,G,G,,,G,
{028FB707-2FC9-4BF3-826F-DF9D40565CCA},20-9-2016,,G,,G,G,G,G,G,G,G,
{028FB707-2FC9-4BF3-826F-DF9D40565CCA},21-6-2018,,G,,G,G,G,G,,,G,
{028FB707-2FC9-4BF3-826F-DF9D40565CCA},21-6-2018,,G,,G,G,G,G,,,G,
{02906C0F-BC9E-4E4A-AD51-C4ED09790E0C},10-5-2016,,G,,G,G,G,G,G,G,G,
{02906C0F-BC9E-4E4A-AD51-C4ED09790E0C},22-5-2018,,G,,G,G,G,G,,,G,
{0291F7AC-034A-455E-AEF5-18BC81A414DE},1-1-2014,,G,,L1,G,G,G,G,G,G,
{0291F7AC-034A-455E-AEF5-18BC81A414DE},2-8-2017,,G,,G,G,G,G,,,G,
{0291F7AC-034A-455E-AEF5-18BC81A414DE},15-5-2019,,G,,G,G,G,G,,,G,
{0296DCE3-A17A-4851-83E6-F373C9F8EECF},16-3-2016,,G,,G,G,G,G,G,G,G,
{0296DCE3-A17A-4851-83E6-F373C9F8EECF},13-6-2018,,G,,G,G,G,G,,,G,
{02AE51F7-A495-4FAB-8437-C28558428BF9},4-5-2015,,G,,G,L1,G,M1,G,G,G,
{02AE51F7-A495-4FAB-8437-C28558428BF9},14-7-2017,,G,,G,G,G,G,,,G,
{02AE51F7-A495-4FAB-8437-C28558428BF9},21-3-2019,,G,,G,G,G,G,,,G,
{02B1FE79-B887-4221-9D3E-B8664EAB324F},20-9-2016,,G,,G,G,L1,G,G,G,G,
{02B1FE79-B887-4221-9D3E-B8664EAB324F},5-6-2018,,G,,G,G,G,G,,,G,
{02B1FE79-B887-4221-9D3E-B8664EAB324F},23-5-2019,,G,,G,G,G,G,,,G,
{02BA6A34-76FE-4315-9D7B-420A60FB6EE4},2-5-2014,,L2,,G,G,G,G,G,G,G,
{02C1EB98-4171-4304-B49D-AEBF23C6B891},1-1-2015,,G,,G,L1,G,G,G,G,G,dwarsscheuren 3m +boorgat
{02C1EB98-4171-4304-B49D-AEBF23C6B891},3-8-2017,,G,,G,G,G,G,,,G,
{02C1EB98-4171-4304-B49D-AEBF23C6B891},24-5-2019,,G,,G,G,G,G,,,G,
{02C8EF5D-8E2F-4755-A8A1-7140B7151960},28-4-2014,,G,,G,G,G,G,G,G,G,
{02C8EF5D-8E2F-4755-A8A1-7140B7151960},6-7-2018,,G,,G,G,G,G,,,G,
